From
Bushra"G729/8000" <sip:sipp@10.0.2.20:5060>;tag=1
Bushra"G729/8000" <sip:sipp@10.0.2.20:5060>;tag=1
Bushra"G729/8000" <sip:sipp@10.0.2.20:5060>;tag=1
Bushra"G729/8000" <sip:sipp@10.0.2.20:5060>;tag=1
Bushratest <sip:test@10.0.2.15:5060>;tag=D63NF7DZQ89gH
Bushratest <sip:test@10.0.2.15:5060>;tag=D63NF7DZQ89gH
Bushra"G729/8000" <sip:sipp@10.0.2.20:5060>;tag=1
Bushra"G729/8000" <sip:sipp@10.0.2.20:5060>;tag=1
Bushra"G729/8000" <sip:sipp@10.0.2.20:5060>;tag=1
Bushra"G729/8000" <sip:sipp@10.0.2.20:5060>;tag=1
Bushratest <sip:test@10.0.2.15:5060>;tag=D63NF7DZQ89gH
Bushratest <sip:test@10.0.2.15:5060>;tag=D63NF7DZQ89gH
Bushra"G729/8000" <sip:sipp@10.0.2.20:5060>;tag=1
Bushra"G729/8000" <sip:sipp@10.0.2.20:5060>;tag=1
Bushra"G729/8000" <sip:sipp@10.0.2.20:5060>;tag=1
Bushra"G729/8000" <sip:sipp@10.0.2.20:5060>;tag=1
Bushratest <sip:test@10.0.2.15:5060>;tag=D63NF7DZQ89gH
Bushratest <sip:test@10.0.2.15:5060>;tag=D63NF7DZQ89gH
Bushra"G729/8000" <sip:sipp@10.0.2.20:5060>;tag=1
Bushra"G729/8000" <sip:sipp@10.0.2.20:5060>;tag=1
Bushra"G729/8000" <sip:sipp@10.0.2.20:5060>;tag=1
Bushra"G729/8000" <sip:sipp@10.0.2.20:5060>;tag=1
Bushratest <sip:test@10.0.2.15:5060>;tag=D63NF7DZQ89gH
Bushratest <sip:test@10.0.2.15:5060>;tag=D63NF7DZQ89gH
